Name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,birth_city,years_exp,depth_chart_order,height,weight,college,team,position,cleaned_name
Kevin Garnett,1172,nba,,False,,48.0,1976-05-19,RET,,21.0,,83.0,253.0,,,PF,Kevin Garnett
Jordan Bone,2025,nba,,True,,27.0,1997-11-05,FA,,1.0,,74.0,180.0,Tennessee,,PG,Jordan Bone
Adreian Payne,1523,nba,,False,,33.0,1991-02-19,RET,,4.0,,82.0,237.0,Michigan State,,PF,Adreian Payne
Alex Ducas,2782,nba,88.0,True,SF,23.0,2000-12-11,TWO-WAY,,0.0,9.0,79.0,220.0,Saint Mary's,OKC,PG,Alex Ducas
CJ Elleby,2160,nba,,True,,24.0,2000-06-16,FA,,2.0,,78.0,200.0,Washington State,,SF,CJ Elleby
Greg Smith,1009,nba,,True,,33.0,1991-01-08,FA,,5.0,,82.0,250.0,Fresno State,,PF,Greg Smith
Taevion Kinsey,2678,nba,,True,,24.0,2000-03-10,FA,,1.0,,77.0,190.0,Marshall,,PG,Taevion Kinsey
Sean Kilpatrick,1524,nba,,True,,34.0,1990-01-06,FA,,4.0,,76.0,212.0,Cincinnati,,SG,Sean Kilpatrick
Paul Millsap,1250,nba,,True,,39.0,1985-02-10,FA,,16.0,,79.0,257.0,Louisiana Tech,,PF,Paul Millsap
Izaiah Brockington,2519,nba,,True,,25.0,1999-07-12,FA,,2.0,,76.0,196.0,Iowa State,,PG,Izaiah Brockington
Baylor Scheierman,2721,nba,55.0,True,SF,24.0,2000-09-26,ACT,,0.0,6.0,78.0,213.0,Creighton,BOS,PG,Baylor Scheierman
Ron Holland DUPLICATE,2739,nba,,False,,,,,,,,,,,,,Ron Holland DUPLICATE
Jazian Gortman,2676,nba,0.0,True,PG,21.0,2003-03-14,TWO-WAY,,1.0,5.0,74.0,184.0,,DAL,PG,Jazian Gortman
CJ McCollum,1450,nba,3.0,True,SG,33.0,1991-09-19,ACT,,11.0,1.0,75.0,190.0,Lehigh,NOP,SG,CJ McCollum
Ray Spalding,1966,nba,,True,,27.0,1997-03-11,FA,,1.0,,82.0,215.0,Louisville,,PF,Ray Spalding
Bruno Caboclo,1550,nba,,True,,29.0,1995-09-21,FA,,7.0,,81.0,218.0,,,SF,Bruno Caboclo
Marcus Derrickson,1897,nba,,True,,28.0,1996-02-01,FA,,1.0,,79.0,249.0,Georgetown,,PF,Marcus Derrickson
Kelly Olynyk,1282,nba,41.0,True,C,33.0,1991-04-19,ACT,,11.0,6.0,83.0,240.0,Gonzaga,TOR,C,Kelly Olynyk
Nigel Hayes,1800,nba,,True,,29.0,1994-12-16,FA,,1.0,,79.0,254.0,Wisconsin,,SF,Nigel Hayes
Isaac Jones,2780,nba,17.0,True,C,25.0,1999-07-11,TWO-WAY,,0.0,2.0,81.0,245.0,Washington State,SAC,PF,Isaac Jones
Jamal Cain,2537,nba,8.0,True,SF,25.0,1999-03-20,TWO-WAY,,2.0,6.0,78.0,191.0,Marquette,NOP,SF,Jamal Cain
Antonio Reeves,2758,nba,12.0,True,SF,24.0,2000-11-20,ACT,,0.0,4.0,77.0,187.0,Kentucky,NOP,PG,Antonio Reeves
De'Aaron Fox,1872,nba,5.0,True,PG,26.0,1997-12-20,ACT,,7.0,1.0,75.0,190.0,Kentucky,SAC,PG,De'Aaron Fox
